DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2016-05-12,7871.45,7916.05,7900.4,7849.65,157444918.0
2016-05-13,7881.0,7881.0,7814.9,7784.2,185061782.0
2016-05-16,7831.2,7873.9,7860.75,7772.15,211547775.0
2016-05-17,7896.85,7940.1,7890.75,7879.7,189140810.0
2016-05-18,7846.75,7882.05,7870.15,7810.75,161169418.0
2016-05-19,7875.5,7876.2,7783.4,7766.8,175711829.0
2016-05-20,7792.2,7812.4,7749.7,7735.75,161889432.0
2016-05-23,7813.95,7820.6,7731.05,7722.2,177347948.0
2016-05-24,7738.05,7761.55,7748.85,7715.8,151538169.0
2016-05-25,7811.8,7941.2,7934.9,7809.3,181636649.0
2016-05-26,7974.45,8083.0,8069.65,7948.5,272456307.0
2016-05-27,8081.95,8164.2,8156.65,8077.05,268963949.0
2016-05-30,8166.5,8200.0,8178.5,8150.8,255086293.0
2016-05-31,8209.85,8213.6,8160.1,8134.3,485645737.0
2016-06-01,8179.2,8215.35,8179.95,8171.05,200371829.0
2016-06-02,8156.9,8229.5,8218.95,8154.75,187316365.0
2016-06-03,8246.2,8262.0,8220.8,8209.85,390652017.0
2016-06-06,8228.75,8234.7,8201.05,8186.05,176885226.0
2016-06-07,8235.55,8294.95,8266.45,8216.4,249365706.0
2016-06-08,8285.5,8288.9,8273.05,8252.05,179710369.0
2016-06-09,8273.35,8273.35,8203.6,8184.6,180293039.0
2016-06-10,8180.25,8265.6,8170.05,8162.85,187757375.0
2016-06-13,8102.25,8125.25,8110.6,8063.9,174916286.0
2016-06-14,8134.4,8134.95,8108.85,8069.5,150042362.0
2016-06-15,8139.4,8213.2,8206.6,8123.15,174953935.0
2016-06-16,8180.65,8180.65,8140.75,8074.45,195028743.0
2016-06-17,8176.65,8195.25,8170.2,8135.8,171842760.0
2016-06-20,8115.75,8244.15,8238.5,8107.35,173750792.0
2016-06-21,8255.4,8257.25,8219.9,8202.15,141161921.0
2016-06-22,8213.65,8238.35,8203.7,8153.25,140268297.0
2016-06-23,8201.15,8285.6,8270.45,8188.3,158852677.0
2016-06-24,8029.1,8100.7,8088.6,7927.05,306803641.0
2016-06-27,8039.35,8120.65,8094.7,8039.35,167462711.0
2016-06-28,8096.05,8146.35,8127.85,8086.85,175724276.0
2016-06-29,8173.1,8212.4,8204.0,8157.65,151499716.0
2016-06-30,8260.25,8308.15,8287.75,8242.1,288031935.0
2016-07-01,8313.05,8356.75,8328.35,8308.65,170581881.0
2016-07-04,8376.75,8398.45,8370.7,8364.7,158955823.0
2016-07-05,8379.3,8381.45,8335.95,8319.95,143253937.0
2016-07-07,8342.0,8361.95,8337.9,8317.7,160327315.0
2016-07-08,8350.0,8353.3,8323.2,8287.55,142159935.0
2016-07-11,8413.35,8475.25,8467.9,8407.05,154399933.0
2016-07-12,8502.6,8526.6,8521.05,8479.2,189339750.0
2016-07-13,8540.45,8550.25,8519.5,8493.55,201492184.0
2016-07-14,8515.75,8571.4,8565.0,8500.7,158738499.0
2016-07-15,8565.45,8594.8,8541.4,8510.05,228598684.0
2016-07-18,8564.05,8587.1,8508.7,8494.35,169400452.0
2016-07-19,8514.3,8540.05,8528.55,8476.7,173050805.0
2016-07-20,8515.45,8569.9,8565.85,8512.55,165349380.0
2016-07-21,8582.7,8585.25,8510.1,8503.45,154575685.0
2016-07-22,8519.65,8548.95,8541.2,8489.8,147619642.0
2016-07-25,8519.95,8641.15,8635.65,8517.2,154631398.0
2016-07-26,8633.75,8644.9,8590.65,8577.15,159563469.0
2016-07-27,8599.4,8665.0,8615.8,8572.05,189796380.0
2016-07-28,8636.95,8674.7,8666.3,8625.25,240721865.0
2016-07-29,8668.3,8670.35,8638.5,8631.15,161935155.0
2016-08-01,8654.3,8711.3,8636.55,8590.5,194186858.0
2016-08-02,8647.45,8687.2,8622.9,8611.4,174556789.0
2016-08-03,8635.2,8635.45,8544.85,8529.6,168033073.0
2016-08-04,8599.95,8601.4,8551.1,8518.15,169780463.0
2016-08-05,8600.2,8689.4,8683.15,8590.15,162784913.0
2016-08-08,8712.85,8723.5,8711.35,8697.6,177877012.0
2016-08-09,8727.8,8728.35,8678.25,8638.2,206261255.0
2016-08-10,8686.7,8690.1,8575.3,8564.6,178963496.0
2016-08-11,8572.8,8601.15,8592.15,8540.05,195114539.0
2016-08-12,8605.45,8684.3,8672.15,8604.45,272014034.0
2016-08-16,8670.25,8682.35,8642.55,8600.45,231771409.0
2016-08-17,8639.8,8667.1,8624.05,8603.6,179540691.0
2016-08-18,8648.85,8690.7,8673.25,8645.05,169431656.0
2016-08-19,8694.3,8696.6,8666.9,8647.1,197770568.0
2016-08-22,8667.0,8684.85,8629.15,8614.0,156976546.0
2016-08-23,8628.35,8642.15,8632.6,8580.0,193302503.0
2016-08-24,8648.5,8661.05,8650.3,8620.9,154168043.0
2016-08-25,8668.85,8683.05,8592.2,8583.65,219736214.0
2016-08-26,8614.35,8622.95,8572.55,8547.55,152146666.0
2016-08-29,8583.75,8622.0,8607.45,8543.75,133723771.0
2016-08-30,8646.75,8750.6,8744.35,8642.25,154828719.0
2016-08-31,8754.05,8819.2,8786.2,8754.05,373422334.0
2016-09-01,8793.6,8813.25,8774.65,8759.95,246336047.0
2016-09-02,8796.35,8824.1,8809.65,8768.2,197385217.0
